other_safegraph_place_id,other_location_name,other_city,other_state,other_top_category,other_sub_category
1bd3a8e6f4784c6cb3c709855efbb42a,,norwalk,CT,Support Activities for Road Transportation,Motor Vehicle Towing
24d34d80fc8448c6b722454c102d7f37,,glastonbury,CT,Restaurants and Other Eating Places,Limited-Service Restaurants
63cfc810d3b937a595dc143d41921939,,farmington,CT,Other Amusement and Recreation Industries,All Other Amusement and Recreation Industries
a556400ec2544643acd2cc728a795776,,glastonbury,CT,Gasoline Stations,Gasoline Stations with Convenience Stores
c6e2c72a2b694bb2ad2e4626a1ed51aa,,unionville,CT,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions
2bbf18ff1d8b41b9a4097bcc61c1261b,,glastonbury,CT,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars
d654f436a80f494b8e1f236bd26974e8,,hartford,CT,Used Merchandise Stores,Used Merchandise Stores
7c7da2fc7b104e99aaccff66d75b31b1,,cranston,RI,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages)
0144167c8509489f9bf99aceee699618,,new york,NY,Restaurants and Other Eating Places,Full-Service Restaurants
0e5556503be848668bec794070d17789,,new york,NY,Restaurants and Other Eating Places,Full-Service Restaurants
2ce0a2f65432379f85bdb2afd80f2bc6,,new york,NY,Other Amusement and Recreation Industries,Marinas
5153acd4d5d445b9b94c7ca459a8e8ab,,new york,NY,Restaurants and Other Eating Places,Full-Service Restaurants
65e4c8eb514343bf8ae9a6bad857573c,,new york,NY,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers
c530f8e42ecc30a6ad6895c64dd2ab3a,,new york,NY,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages)
9d4cbe59d0264dad855ba452c0202e81,,windsor,CT,Other Amusement and Recreation Industries,All Other Amusement and Recreation Industries
f1251ec77fc443209fd7441dad9901ae,,ludlow,MA,Religious Organizations,Religious Organizations
59b91e1903e944d69a0396423db70fd9,,southington,CT,Traveler Accommodation,Hotels (except Casino Hotels) and Motels
a940eb86893348aeb735eba6dd6465ae,,windsor,CT,Book Stores and News Dealers,Book Stores
f0f88eafa26645738f141875df11244b,,storrs,CT,"Colleges, Universities, and Professional Schools","Colleges, Universities, and Professional Schools"
ac889d0bf89e3b259952d3bd37f5fa13,,bridgeport,CT,Other Miscellaneous Manufacturing,
042c61037af0340a9d7c98eedd6aae8b,,norwalk,CT,Clothing Stores,Family Clothing Stores
05a94d884d5b47f6ad673f6a2ca091f5,,Wilton,ct,Restaurants and Other Eating Places,Full-Service Restaurants
